case id,level,status,case owner,school,opeid,facility code,school city,school state,submitted,closed,closed reason,issues,education benefits
VA12025,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA17187,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA16050,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA12574,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA12573,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA12350,Level 3,closed,James Lyles,ECOTECH INSTITUTE-DENVER,"""03010622""",21014806,Aurora,CO,,,no response,,Post-9/11 Ch 33
VA11570,Level 3,closed,James Lyles,ART INSTITUTE OF AUSTIN (THE),"""02117102""",21039843,Austin,TX,,,no response,,Post-9/11 Ch 33
VA22410,Level 3,closed,James Lyles,SOUTHERN CAREERS INST-AUSTIN,"""03035300""",25094843,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,THE ART INSTITUTE OF AUSTIN,,31039843,AUSTIN,TX,,,resolved,,Post-9/11 Ch 33
VA11631,Level 3,closed,James Lyles,UNIVERSITY OF TEXAS AT AUSTIN PROF DEV CTR,"""00365800""",15106843,AUSTIN,TX,,,no response,,DEA Ch 35
VA16005,Level 3,closed,James Lyles,UNIVERSITY OF TEXAS AT AUSTIN PROF DEV CTR,"""00365800""",15106843,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
VA17159,Level 3,closed,James Lyles,AUSTIN COMMUNITY COLLEGE,"""01201500""",14977443,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,AUSTIN COMMUNITY COLLEGE DISTRICT,,14977443,AUSTIN,TX,,,resolved,,Post-9/11 Ch 33;MGIB-AD Ch 30
,No Escalation Needed,closed,James Lyles,AUSTIN COMMUNITY COLLEGE DISTRICT,,14977443,AUSTIN,TX,,,resolved,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,SOUTHERN CAREERS INSTITUTE-AUSTIN,,24042943,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
VA12735,Level 3,closed,James Lyles,UNIVERSITY OF TEXAS AT AUSTIN,"""00365800""",11029843,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
VA11859,Level 3,closed,James Lyles,HUSTON TILLOTSON UNIVERSITY,"""00357700""",31005343,AUSTIN,TX,,,no response,,Post-9/11 Ch 33
VA12235,Level 3,closed,James Lyles,HUSTON TILLOTSON UNIVERSITY,"""00357700""",31005343,AUSTIN,TX,,,resolved,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC,,24909403,AVONDALE,AZ,,,no response,,Post-9/11 Ch 33
VA11587,Level 3,closed,James Lyles,UNIVERSITY OF PHOENIX BAKERSFIELD (CH31 ONLY),,21929505,BAKERSFIELD,CA,,,no response,,Post-9/11 Ch 33
VA11578,Level 3,closed,James Lyles,SANTA BARBARA BUSINESS COLLEGE-BAKERSFIELD,"""02577900""",21122505,BAKERSFIELD,CA,,,no response,,Post-9/11 Ch 33
VA11964,Level 3,closed,James Lyles,BAKER UNIVERSITY,"""00190300""",31801016,BALDWIN CITY,KS,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,JOHNS HOPKINS UNIVERSITY BLOOMBERG SCHOOL OF PUBLIC HEALTH,,31802220,BALTIMORE,MD,,,no response,,MGIB-AD Ch 30
VA11866,Level 3,closed,James Lyles,JOHNS HOPKINS UNIVERSITY-HOMEWOOD,"""00207700""",31802020,BALTIMORE,MD,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND-BALTIMORE COUNTY,,11801620,BALTIMORE,MD,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND-BALTIMORE COUNTY,,11801620,BALTIMORE,MD,,,no response,,Post-9/11 Ch 33
VA11816,Level 3,closed,James Lyles,MORGAN STATE UNIVERSITY,"""00208300""",11001520,BALTIMORE,MD,,,resolved,,DEA Ch 35
VA12828,Level 3,closed,James Lyles,MORGAN STATE UNIVERSITY,"""00208300""",11001520,BALTIMORE,MD,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,MOORE CAREER COLLEGE,,25803318,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
VA17178,Level 3,closed,James Lyles,MOORE CAREER COLLEGE,"""03727500""",25803318,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
VA12785,Level 3,closed,James Lyles,RAY J'S COLLEGE OF HAIR,,25055518,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
VA12784,Level 3,closed,James Lyles,RAY J'S COLLEGE OF HAIR,,25055518,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,D'JAY'S SCHOOL OF BEAUTY ARTS AND SCIENCES,,25052018,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
VA11807,Level 3,closed,James Lyles,BATON ROUGE COMMUNITY COLLEGE,"""03730300""",14909418,Baton Rouge,LA,,,resolved,,Post-9/11 Ch 33
VA11801,Level 3,closed,James Lyles,SOUTHERN UNIVERSITY AND A&M COLLEGE BATON ROUGE,"""00202500""",11801118,BATON ROUGE,LA,,,resolved,,Post-9/11 Ch 33
VA11703,Level 3,closed,James Lyles,SOUTHERN UNIVERSITY AND A&M COLLEGE BATON ROUGE,"""00202500""",11801118,BATON ROUGE,LA,,,no response,,Post-9/11 Ch 33
VA22438,Level 3,closed,James Lyles,NATIONAL UNIVERSITY COLLEGE-BAYAMON,"""02260600""",21904163,Bayamon PR,,,,no response,,Post-9/11 Ch 33
VA22439,Level 3,closed,James Lyles,NATIONAL UNIVERSITY COLLEGE-BAYAMON,"""02260600""",21904163,Bayamon PR,,,,no response,,Post-9/11 Ch 33
VA17240,Level 3,closed,James Lyles,NATIONAL UNIVERSITY COLLEGE-BAYAMON,"""02260600""",21904163,Bayamon PR,,,,no response,,VRE Ch 31
,No Escalation Needed,closed,James Lyles,COASTAL ALABAMA COMMUNITY COLLEGE-BAY MINETTE,,14001501,BAY MINETTE,AL,,,no response,,DEA Ch 35
VA11794,Level 3,closed,James Lyles,BAY PINES VA HEALTHCARE SYSTEM,,15494310,BAY PINES,FL,,,resolved,,Post-9/11 Ch 33
VA12337,Level 3,closed,James Lyles,DISCOVERY DIVING COMPANY,,25015333,BEAUFORT,NC,,,no response,,VRE Ch 31
VA11969,Level 3,closed,James Lyles,TECHNICAL COLLEGE OF THE LOWCOUNTRY,"""00991000""",14940440,BEAUFORT,SC,,,no response,,Post-9/11 Ch 33
VA13865,Level 3,closed,James Lyles,LAMAR UNIVERSITY,"""00358100""",119G3143,BEAUMONT,TX,,,no response,,VRE Ch 31
VA12837,Level 3,closed,James Lyles,LAMAR UNIVERSITY,"""00358100""",119G3143,BEAUMONT,TX,,,no response,,VRE Ch 31
VA11579,Level 3,closed,James Lyles,HARFORD COMMUNITY COLLEGE,"""00207500""",14906420,BEL AIR,MD,,,resolved,,Post-9/11 Ch 33
VA12508,Level 3,closed,James Lyles,BELLEVUE UNIVERSITY,"""00974300""",31001527,BELLEVUE,NE,,,resolved,,Post-9/11 Ch 33
VA7034,Level 3,closed,Tameika Tiller,TLG LEARNING-TECHNOLOGY LEARNING GROUP INC,,25426247,BELLEVUE,WA,,,no response,,VRE Ch 31
,No Escalation Needed,closed,Eva B. Ojo,COLLEGE OF INSTRUMENT TECHNOLOGY,,25158405,BELLFLOWER,CA,,,no response,,Post-9/11 Ch 33
VA9742,Level 3,closed,Tameika Tiller,COLLEGE OF INSTRUMENT TECHNOLOGY,,25158405,BELLFLOWER,CA,,,no response,,Post-9/11 Ch 33
VA22445,Level 3,closed,James Lyles,COLLEGE OF INSTRUMENT TECHNOLOGY,,25158405,BELLFLOWER,CA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,COLLEGE OF INSTRUMENT TECHNOLOGY,,25158405,BELLFLOWER,CA,,,no response,,post9::11 ch 33
,No Escalation Needed,closed,James Lyles,WESTERN WASHINGTON UNIVERSITY,,11507047,BELLINGHAM,WA,,,no response,,Post-9/11 Ch 33
VA16026,Level 3,closed,James Lyles,UNIVERSITY OF MARY HARDIN BAYLOR,"""00358800""",31007143,BELTON,TX,,,resolved,,DEA Ch 35
VA11749,Level 3,closed,James Lyles,CENTRAL OREGON COMMUNITY COLLEGE,"""00318800""",14911437,Bend,OR,,,no response,,Post-9/11 Ch 33
VA16037,Level 3,closed,James Lyles,CENTRAL OREGON COMMUNITY COLLEGE,"""00318800""",14911437,Bend,OR,,,resolved,,Post-9/11 Ch 33
VA12740,Level 3,closed,James Lyles,OCEAN AVIATION INC,,25023220,Berlin,MD,,,no response,,Post-9/11 Ch 33
VA12747,Level 3,closed,James Lyles,TRIANGLE TECH INC-BETHLEHEM,"""02129003""",24992538,BETHLEHEM,PA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,MOUNTAIN EMPIRE COMMUNITY COLLEGE,,14922446,BIG STONE GAP,VA,,,no response,,Post-9/11 Ch 33
VA10738,Level 3,closed,James Lyles,ROCKY MOUNTAIN COLLEGE,"""00253400""",31900126,BILLINGS,MT,,,no response,,MGIB-AD Ch 30
VA16092,Level 3,closed,James Lyles,VIRGINIA COLLEGE-BIRMINGHAM,"""03010600""",21802301,Birmingham,AL,,,no response,,Post-9/11 Ch 33
VA16090,Level 3,closed,James Lyles,VIRGINIA COLLEGE-BIRMINGHAM,"""03010600""",21802301,Birmingham,AL,,,no response,,Post-9/11 Ch 33
VA11834,Level 3,closed,James Lyles,JEFFERSON STATE COMMUNITY COLLEGE,"""00102200""",14001801,BIRMINGHAM,AL,,,no response,,Post-9/11 Ch 33
VA12010,Level 3,closed,James Lyles,UNIVERSITY OF ALABAMA AT BIRMINGHAM,"""00105200""",11001801,BIRMINGHAM,AL,,,no response,,MGIB-SR Ch 1606
VA16107,Level 3,closed,James Lyles,UNIVERSITY OF ALABAMA AT BIRMINGHAM,"""00105200""",11001801,BIRMINGHAM,AL,,,no response,,DEA Ch 35
VA22431,Level 3,closed,James Lyles,UNIVERSITY OF MARY,"""00299200""",31000334,BISMARCK,ND,,,no response,,Post-9/11 Ch 33
VA16059,Level 3,closed,James Lyles,UNIVERSITY OF MARY,"""00299200""",31000334,BISMARCK,ND,,,no response,,Post-9/11 Ch 33
VA14953,Level 3,closed,James Lyles,UNIVERSITY OF MARY,"""00299200""",31000334,BISMARCK,ND,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,BISMARCK STATE COLLEGE,,11000834,BISMARCK,ND,,,no response,,Post-9/11 Ch 33
VA12317,Level 3,closed,James Lyles,WYOTECH-BLAIRSVILLE,"""00915705""",249C4438,Blairsville,PA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,INDIANA UNIVERSITY APPRENTICESHIP PROGRAM,,10049514,BLOOMINGTON,IN,,,resolved,,MGIB-AD Ch 30
,No Escalation Needed,closed,James Lyles,ACADEMY COLLEGE,,21015323,BLOOMINGTON,MN,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,ACADEMY COLLEGE,,21015323,BLOOMINGTON,MN,,,no response,,Post-9/11 Ch 33
VA11051,Level 3,closed,Tameika Tiller,INDIANA UNIVERSITY-BLOOMINGTON,"""00180900""",11907414,BLOOMINGTON,IN,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,LYNN UNIVERSITY,,31958110,BOCA RATON,FL,,,no response,,Post-9/11 Ch 33
VA12822,Level 3,closed,James Lyles,EVERGLADES UNIVERSITY,"""03108500""",31827010,BOCA RATON,FL,,,no response,,Post-9/11 Ch 33
VA12662,Level 3,closed,James Lyles,EVERGLADES UNIVERSITY,"""03108500""",31827010,BOCA RATON,FL,,,no response,,Post-9/11 Ch 33
VA12426,Level 3,closed,James Lyles,EVERGLADES UNIVERSITY,"""03108500""",31827010,BOCA RATON,FL,,,no response,,Post-9/11 Ch 33
VA12633,Level 3,closed,James Lyles,BOCA BEAUTY ACADEMY,,25497310,BOCA RATON,FL,,,no response,,DEA Ch 35
VA12070,Level 3,closed,James Lyles,BROWN MACKIE COLLEGE-BOISE,"""04051323""",21001612,BOISE,ID,,,no response,,Post-9/11 Ch 33
VA9535,Level 3,closed,Christopher Sutherland,APPALACHIAN STATE UNIVERSITY,"""00290600""",11006533,BOONE,NC,,,no response,,Post-9/11 Ch 33
VA8760,Level 3,closed,Tameika Tiller,VIRGINIA COLLEGE-SHREVEPORT BOSSIER CITY,"""03010632""",21001618,Bossier City,LA,,,no response,,Post-9/11 Ch 33
