"facility_code","institution","longitude","latitude","ungeocodable"
"10025019","MAINE DEPARTMENT OF LABOR SKOWHEGAN CAREER CENTER",-69.7193778921389,44.77330525,False
"10025119","OLD TOWN POLICE DEPARTMENT",-68.6484585899541,44.93601175,False
"10025219","MAINE DEPARTMENT OF LABOR AUGUSTA CAREER CENTER",-69.800741,44.3667093,False
"10026019","MAINE DEPARTMENT OF HEALTH AND HUMAN SERVICES",-69.7853459933757,44.30896675,False
"10028163","DHS-US CITIZENSHIP & IMMIGRATION SERVICES",-66.116666,18.465299,False
"10746713","BYRON POLICE DEPARTMENT",-89.2586456,42.1264003,False
"10013837","PORTLAND STREETCAR CITY OF PORTLAND",-122.687195877551,45.5314988469388,False
"10013937","COOS COUNTY SHERIFFS OFFICE-COQUILLE OR",-124.187608,43.177055,False
"10014037","LA GRANDE POLICE DEPARTMENT",-118.09549208757,45.3211208660482,False
"10014137","NEWBERG-DUNDEE POLICE DEPARTMENT",-122.9538513,45.2986513,False
"10014237","CANNON BEACH POLICE DEPARTMENT",-123.9618623,45.8900275,False
"10014241","BROOKINGS COUNTY HIGHWAY DEPARTMENT",-96.808692,44.310374,False
"10014244","FAA SALT LAKE CITY ZLC TECHNICAL OPERATIONS",-111.9125985,40.7844428,False
"10014329","EPSOM POLICE DEPARTMENT",-71.3615313030825,43.2350178667128,False
"10014337","CITY OF BAKER CITY POLICE DEPARTMENT",-117.834384,44.7748748,False
"10014344","OREM POLICE DEPARTMENT",-111.693455,40.2972217708333,False
"10014429","BARTLETT POLICE DEPARTMENT",-71.1488130195355,44.1026464551501,False
"10014437","SOCIAL SECURITY ADMINISTRATION BEAVERTON",-122.800039765527,45.4853755,False
"10014529","SWANZEY POLICE DEPARTMENT",-72.2879940627047,42.8795746231344,False
"10014537","CITY OF CORVALLIS POLICE DEPARTMENT",-123.262705857143,44.5657632040816,False
"10014544","DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER OJT",-111.838657312751,40.75556475,False
"10014637","NEWPORT POLICE DEPARTMENT-NEWPORT OR",-124.053423172702,44.6351136311388,False
