facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
14908406,AIMS COMMUNITY COLLEGE,3825,0,255,255
15033606,AIMS COMMUNITY COLLEGE FLIGHT,15,0,1,1
28000229,AIR DIRECT AIRWAYS FLIGHT ACADEMY,45,0,3,3
21030162,AIR LINK INTERNATIONAL AVIATION SCHOOL,30,0,2,2
25103324,AIR VENTURE FLIGHT CENTER,30,0,2,2
25171705,AIRSTREAMS RENEWABLES INC,4350,0,290,290
25001116,AIRSTREAMS RENEWABLES INC,2370,0,158,158
25188005,AIRSTREAMS RENEWABLES INC,1935,0,129,129
25143243,AIRSTREAMS RENEWABLES INC,1830,0,122,122
25470247,AIRSTREAMS RENEWABLES INC,1530,0,102,102
25149943,AIRSTREAMS RENEWABLES INC,675,0,45,45
25201322,AIS CONSTRUCTION EQUIPMENT CORP,15,0,1,1
20000102,AK JOINT ELEC APP & TRNG TRUST,15,0,1,1
11043062,AKLAN STATE UNIVERSITY - BANGA,15,0,1,1
20003135,AKRON AREA ELECTRICAL JATC,30,0,2,2
25524035,AKRON BARBER COLLEGE INC,45,0,3,3
25572835,AKRON CNC TRAINING CENTER,45,0,3,3
25526535,AKRON TESTING LABORATORY AND WELDING SCHOOL,15,0,1,1
11000099,AL AKHAWAYN UNIVERSITY,15,0,1,1
11901101,ALABAMA A & M UNIVERSITY,6015,0,401,401
31012201,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,165,0,11,11
18870401,ALABAMA CRIMINAL JUSTICE TRAINING CENTER,45,0,3,3
15078501,ALABAMA FIRE COLLEGE,135,0,9,9
25053801,ALABAMA SCHOOL OF NAIL TECHNOLOGY & COSMETOLOGY,15,0,1,1
28878401,ALABAMA STATE COLLEGE OF BARBER STYLING,30,0,2,2
13901101,ALABAMA STATE UNIVERSITY,4935,0,329,329
25020033,ALAMANCE BARBER INSTITUTE,30,0,2,2
14939433,ALAMANCE COMMUNITY COLLEGE,2265,0,151,151
15046543,ALAMO AREA LAW ENFORCEMENT ACAD,540,0,36,36
25129743,ALAMO CITY BARBER COLLEGE,750,0,50,50
31914102,ALASKA BIBLE COLLEGE,120,0,8,8
24971702,ALASKA CAREER COLLEGE,1035,0,69,69
29054402,ALASKA COMPUTER BUSINESS SOLU,15,0,1,1
25002102,ALASKA INSTITUTE OF ORIENTAL MEDICINE ACUPUNCTURE & MASSAGE THERAPY,105,0,7,7
31901102,ALASKA PACIFIC UNIVERSITY,915,0,61,61
25040611,ALBANY BEAUTY ACADEMY,120,0,8,8
31009432,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,285,0,19,19
31003132,ALBANY LAW SCHOOL,150,0,10,10
31009332,ALBANY MEDICAL COLLEGE,90,0,6,6
11001611,ALBANY STATE UNIVERSITY,4455,0,297,297
14905411,ALBANY TECHNICAL COLLEGE,3000,0,200,200
32907738,ALBERT EINSTEIN MEDICAL CENTER,30,0,2,2
18003207,ALBERT I PRINCE TECHNICAL HIGH SCHOOL,15,0,1,1
31960107,ALBERTUS MAGNUS COLLEGE,1125,0,75,75
31000722,ALBION COLLEGE,240,0,16,16
31945138,ALBRIGHT COLLEGE,615,0,41,41
25000131,ALBUQUERQUE BARBER COLLEGE,75,0,5,5
11901124,ALCORN STATE UNIVERSITY,1815,0,121,121
25453147,ALDERLEAF WILDERNESS COLLEGE,570,0,38,38
21102062,ALDERSGATE COLLEGE,15,0,1,1
31903048,ALDERSON BROADDUS UNIVERSITY,285,0,19,19
25290747,ALEXANDAR SCHOOL OF NATURAL THERAPEUTICS,135,0,9,9
25060321,ALEXANDER ACADEMY,15,0,1,1
25016433,ALEXANDER PAUL INSTITUTE OF HAIR DESIGN,15,0,1,1
15003818,ALEXANDRIA REGIONAL POLICE ACADEMY,30,0,2,2
25521314,ALEXANDRIA SCHOOL OF SCIENTIFIC THERAPEUTICS INC,45,0,3,3
14915423,ALEXANDRIA TECHNICAL & COMMUNITY COLLEGE,1815,0,121,121
119A0132,ALFRED STATE - SUNY COLLEGE OF TECHNOLOGY,1620,0,108,108
31300232,ALFRED UNIVERSITY,465,0,31,31
11102175,ALGONQUIN COLLEGE,135,0,9,9
25172205,ALHAMBRA BEAUTY COLLEGE,15,0,1,1
31523717,ALICE LLOYD COLLEGE,75,0,5,5
25018233,ALL AMERICAN AVIATION SERVICES INC,150,0,10,10
25025403,ALL BEAUTY COLLEGE-FT MOHAVE,30,0,2,2
25818803,ALL BEAUTY COLLEGE-KINGMAN,15,0,1,1
25110864,ALL ISLANDS REAL ESTATE SCHOOL,15,0,1,1
