va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
21853735,BROWN MACKIE COLLEGE-CINCINNATI,4-year,1.0,1.0,1.0,1.0,,
24009005,LAURUS COLLEGE-SANTA MARIA,2-year,,0.667,,0.667,,
21000029,DANIEL WEBSTER COLLEGE,4-year,0.857,,0.857,,,
21906163,COLUMBIA CENTRO UNIVERSITARIO-CAGUAS,4-year,,,,,,
21001714,HARRISON COLLEGE-INDIANAPOLIS,4-year,1.0,0.9,1.0,1.0,,
21800330,STRAYER UNIVERSITY-WILLINGBORO,4-year,0.833,,0.833,,,
21115905,STANBRIDGE COLLEGE,4-year,,1.0,,1.0,,
21056322,ITT TECHNICAL INSTITUTE-DEARBORN,4-year,1.0,1.0,1.0,1.0,,
21900230,DEVRY UNIVERSITY - NEW JERSEY,4-year,0.562,1.0,0.875,1.0,,
24141403,BRIGHTON COLLEGE,2-year,,0.0,,0.0,,
24803305,CONCORDE CAREER COLLEGE-GARDEN GROVE,2-year,,1.0,,1.0,0.0,0.333
24946447,CARRINGTON COLLEGE-SPOKANE,2-year,,1.0,,1.0,1.0,0.0
249C8410,CONCORDE CAREER INSTITUTE-TAMPA,2-year,,1.0,,1.0,0.167,0.333
24972438,ERIE INSTITUTE OF TECHNOLOGY INC,2-year,,1.0,,1.0,0.429,0.143
25036246,RUDY & KELLY ACADEMY OF HAIR & NAILS,NCD,,1.0,,1.0,,
24912033,THE CHEFS ACADEMY AT HARRISON COLLEGE,2-year,,0.5,,0.625,,
25010833,PAUL MITCHELL THE SCHOOL FAYETTEVILLE,NCD,,0.8,,1.0,,
25545405,BELLUS ACADEMY-POWAY,NCD,,1.0,,1.0,,
25811210,ROADMASTER DRIVERS SCHOOL OF ORLANDO,NCD,,0.036,,0.107,,
31003242,SOUTHERN ADVENTIST UNIVERSITY,4-year,0.8,,0.8,,,
31000139,BROWN UNIVERSITY,4-year,1.0,,1.0,,,
25129743,ALAMO CITY BARBER COLLEGE,NCD,,0.667,,1.0,,
31906127,NEBRASKA WESLEYAN UNIVERSITY,4-year,0.5,,1.0,,,
