unitid,cipcode,ctotalt
100751,16.0905,34
100751,19.0101,146
100751,19.0101,152
100751,19.0401,66
100751,19.0401,0
100751,19.0701,95
100751,19.0701,2
100751,19.0799,63
100751,19.0799,10
100751,19.0901,70
100751,19.0901,1
100751,22.0101,144
100751,22.0203,0
100751,22.0299,71
100751,23.0101,73
100751,23.0101,9
100751,23.0101,9
100751,23.0101,37
100751,23.1302,16
100751,25.0101,100
100751,26.0101,195
100751,26.0101,14
100751,26.0101,12
100751,26.0101,6
100751,26.0502,10
100751,26.1302,10
100751,26.1302,1
100751,27.0101,57
100751,27.0101,4
100751,27.0101,6
100751,27.0101,36
100751,27.0301,0
100751,27.0502,11
100751,27.0502,2
100751,30,131
100751,30,1
100751,30,2
100751,31.0505,9
100751,31.0599,3
100751,38.0101,13
100751,38.0101,3
100751,38.0201,7
100751,38.0201,7
100751,40.0501,34
100751,40.0501,9
100751,40.0501,14
100751,40.0501,9
100751,40.0601,28
100751,40.0601,10
100751,40.0601,1
100751,40.0601,0
100751,40.0801,11
100751,40.0801,7
100751,40.0801,6
100751,40.0801,9
100751,40.1001,5
100751,42.0101,229
100751,42.0101,16
100751,42.0101,17
100751,42.0101,20
100751,42.2805,1
100751,42.2806,15
100751,42.2806,5
100751,42.2806,3
100751,43.0104,167
100751,43.0104,11
100751,43.0104,14
100751,44.0401,14
100751,44.0701,69
100751,44.0701,218
100751,44.0701,1
100751,45.0201,26
100751,45.0201,10
100751,45.0201,4
100751,45.0201,4
100751,45.0701,23
100751,45.0701,11
100751,45.0701,3
100751,45.0901,40
100751,45.0901,7
100751,45.1001,141
100751,45.1001,3
100751,45.1001,1
100751,45.1001,30
100751,45.1101,0
100751,50.0301,21
100751,50.0301,2
100751,50.0408,44
100751,50.0408,1
100751,50.0501,26
100751,50.0501,11
100751,50.0501,3
100751,50.0702,38
100751,50.0702,4
100751,50.0702,6
100751,50.0703,8
100751,50.0703,2
100751,50.0703,3
100751,50.0799,4
100751,50.0901,28
100751,50.0901,11
100751,50.0901,12
100751,50.0901,12
100751,51.0203,41
100751,51.0204,111
100751,51.0204,0
100751,51.0702,0
100751,51.0913,14
100751,51.1508,4
100751,51.2201,20
100751,51.2201,1
100751,51.231,14
100751,51.3101,121
100751,51.3801,323
100751,51.3801,42
100751,51.3818,65
100751,51.9999,39
100751,51.9999,83
100751,51.9999,0
100751,52.0201,473
100751,52.0201,130
100751,52.0201,6
100751,52.0201,40
100751,52.0301,301
100751,52.0301,83
100751,52.0301,5
100751,52.0301,6
100751,52.0601,65
100751,52.0601,23
100751,52.0601,5
100751,52.0601,57
100751,52.0801,299
100751,52.0801,16
100751,52.0801,7
100751,52.0801,55
100751,52.0905,136
100751,52.0905,5
100751,52.1201,146
100751,52.1201,1
100751,52.1301,105
100751,52.1301,52
100751,52.1301,0
100751,52.1301,0
100751,52.1401,304
100751,52.1401,66
100751,52.1401,5
100751,52.1401,57
100751,52.1601,15
100751,54.0101,75
100751,54.0101,13
100751,54.0101,3
100751,54.0101,37
100751,99,6354
100751,99,1650
100751,99,38
100751,99,240
100751,99,209
100751,99,597
100760,11.0101,6
100760,11.0101,1
100760,11.0101,6
100760,12.0401,4
100760,12.0401,0
100760,15.0613,12
100760,15.0613,10
100760,15.0613,9
100760,15.1301,13
100760,15.1301,3
100760,15.1301,3
100760,24.0101,0
100760,24.0102,136
100760,30.9999,14
100760,47.0105,4
100760,47.0105,3
100760,47.0105,8
100760,47.0201,0
100760,47.0201,0
100760,48.0503,78
100760,48.0503,5
100760,48.0503,0
100760,48.0508,42
100760,48.0508,8
100760,48.0508,0
100760,48.0599,22
100760,48.0599,0
100760,48.0599,0
100760,51.3801,46
100760,51.3901,13
100760,52.0201,1
100760,52.0201,11
100760,52.0401,2
100760,52.0401,8
100760,52.0401,20
100760,99,180
100760,99,55
100760,99,253
100812,11.0101,36
100812,13.1001,13
100812,13.1202,99
100812,13.1209,22
100812,13.1314,15
100812,13.1319,22
100812,23.0101,27
100812,24.0101,42
100812,26.0101,18
100812,26.0101,2
100812,27.0101,16
100812,27.0101,1
100812,30.9999,12
100812,30.9999,2
100812,31.0504,12
100812,38.0201,3
100812,40.0501,2
100812,42.0101,24
100812,42.0101,1
100812,43.0104,16
100812,43.0201,6
100812,45.0101,8
100812,45.1001,4
100812,45.1101,5
100812,50.0701,20
100812,50.0701,1
100812,51.9999,5
100812,52.0201,131
100812,52.0201,1
100812,52.0202,22
100812,52.0203,31
100812,52.0203,1
100812,52.0301,101
100812,52.1001,28
100812,52.1001,3
100812,52.1206,3
100812,52.9999,31
100812,54.0101,6
100812,54.0101,1
100812,99,780
100812,99,13
100830,3.0101,12
100830,9.0101,36
100830,11.0701,0
100830,11.1003,5
100830,13.0401,17
100830,13.0501,9
100830,13.1001,4
100830,13.1001,18
100830,13.1101,7
100830,13.1202,22
100830,13.1202,19
100830,13.1205,9
100830,13.1205,16
100830,16.0101,2
100830,16.0905,0
100830,23.0101,4
100830,23.0101,3
100830,23.1399,0
100830,24.0101,7
100830,24.0101,21
100830,26.0101,32
100830,26.0101,1
100830,27.0101,5
100830,31.0505,30
100830,31.0505,32
100830,40.0101,9
100830,40.0501,0
100830,42.0101,40
100830,42.0101,11
100830,43.0104,21
100830,43.0104,17
100830,44.0401,19
100830,45.0601,8
100830,45.0702,5
