Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Total Cost,Number of payments
31962132,Rochester Institute Of Technology,New York,,101,Private non-profit,Yellow Ribbon,"$652,447.64",121
31961132,Niagara University,New York,,27,Private non-profit,Yellow Ribbon,"$149,048.40",52
31961113,Dominican University,Illinois,,6,Private non-profit,Yellow Ribbon,"$16,788.74",9
31960138,Mercyhurst University,Pennsylvania,,26,Private non-profit,Yellow Ribbon,"$58,789.46",38
31960113,Millikin University,Illinois,,1,Private non-profit,Yellow Ribbon,$789.35,1
31959438,Mount Aloysius College,Pennsylvania,,7,Private non-profit,Yellow Ribbon,"$5,313.95",9
31959113,Trinity Christian College,Illinois,,5,Private non-profit,Yellow Ribbon,"$9,884.88",7
31958125,Washington University,Missouri,,92,Private non-profit,Yellow Ribbon,"$885,278.97",195
31958113,Kendall College,Illinois,,14,Private non-profit,Yellow Ribbon,"$41,974.04",41
31958110,Lynn University,Florida,,21,Private non-profit,Yellow Ribbon,"$120,456.00",37
31957125,William Woods University,Missouri,,1,Private non-profit,Yellow Ribbon,$750.85,2
31955107,University Of Hartford,Connecticut,,16,Private non-profit,Yellow Ribbon,"$98,774.56",17
31954110,University Of Tampa,Florida,,105,Private non-profit,Yellow Ribbon,"$218,314.68",187
31953401,Faulkner University - Montgomery,Alabama,,7,Private non-profit,Yellow Ribbon,"$20,890.07",7
31951113,North Central College-Office Of The Registrar,Illinois,,24,Private non-profit,Yellow Ribbon,"$142,413.02",48
31950440,Sherman College Of Straight Chiropractic,South Carolina,,7,Private non-profit,Yellow Ribbon,"$38,740.46",21
31950105,Azusa Pacific University,California,,90,Private non-profit,Yellow Ribbon,"$490,451.59",147
31949138,Wilson College,Pennsylvania,,8,Private non-profit,Yellow Ribbon,"$43,432.73",13
31949135,Cedarville University,Ohio,,49,Private non-profit,Yellow Ribbon,"$203,599.86",56
31948113,North Park University,Illinois,,18,Private non-profit,Yellow Ribbon,"$45,084.69",32
31947138,Drexel/Mcp Hahnemann University (Broad St),Pennsylvania,,24,Private non-profit,Yellow Ribbon,"$182,329.17",43
31946138,Lebanon Valley College,Pennsylvania,,7,Private non-profit,Yellow Ribbon,"$42,277.39",8
31945138,Albright College,Pennsylvania,,10,Private non-profit,Yellow Ribbon,"$87,480.90",10
31944138,Muhlenberg College,Pennsylvania,,6,Private non-profit,Yellow Ribbon,"$34,271.77",11
31944135,University Of Findlay,Ohio,,14,Private non-profit,Yellow Ribbon,"$65,021.87",17
31944113,Knox College,Illinois,,1,Private non-profit,Yellow Ribbon,"$5,376.00",2
31944036,Saint Gregory'S University,Oklahoma,,9,Private non-profit,Yellow Ribbon,"$7,280.90",14
31943132,Daemen College Veterans Affairs Office,New York,,19,Private non-profit,Yellow Ribbon,"$52,966.57",22
31943110,Eckerd College,Florida,,18,Private non-profit,Yellow Ribbon,"$140,999.14",23
31942113,Elmhurst College,Illinois,,13,Private non-profit,Yellow Ribbon,"$39,944.71",16
31942105,San Francisco Conservatory Of Music,California,,1,Private non-profit,Yellow Ribbon,"$11,463.34",3
31941138,Bryn Mawr College,Pennsylvania,,5,Private non-profit,Yellow Ribbon,"$57,152.48",7
31940744,Stevens-Henager College-Murray/Salt Lake City,Utah,,17,Private non-profit,Yellow Ribbon,"$20,504.73",28
31940644,Independence University,Utah,,5,Private non-profit,Yellow Ribbon,"$5,605.30",10
31940544,Stevens-Henager College - Provo/Orem,Utah,,6,Private non-profit,Yellow Ribbon,"$7,500.00",11
