FACILITY NO.,SCHOOL NAME,STATION,COUNT OF ADV PAY STUDENTS,COUNT OF REG STUDENTS,TOTAL COUNT OF STUDENTS, TOTAL PAID                          
11101980,FRIEDRICH ALEXANDER UNIVERSITAT                                       ,307,0,3,3,$27.00 
11102080,UNIVERSITY OF HEIDELBERG                                              ,307,0,2,2,$18.00 
11102280,MANNHEIM BUSINESS SCHOOL                                              ,307,0,1,1,$9.00 
11118980,TECHNISCHE UNIV KAISERSLAUTERN                                        ,307,0,1,1,$9.00 
11119280,FACHOHCHSCHULE KAISERSLAUTERN                                         ,307,0,1,1,$9.00 
11119480,KARLSRUHE INSTITUTE OF TECH                                           ,307,0,1,1,$9.00 
11119780,ALBERT-LUDWIGS UNIV FREIBURG                                          ,307,0,1,1,$9.00 
11200180,JUSTUS-LIEBIG-UNIVERSI-GIESSEN                                        ,307,0,1,1,$9.00 
11200280,UNIVERSITITY OF HOHENHEIM                                             ,307,0,1,1,$9.00 
11200580,UNIVERSITY OF DUISBURG-ESSEN                                          ,307,0,1,1,$9.00 
11200980,UNIVERSITAT TRIER                                                     ,307,0,1,1,$9.00 
11201580,UNIVERSITAT STUTTGART                                                 ,307,0,2,2,$18.00 
11201880,HOCHSCHULE RHEIN-WAAL                                                 ,307,0,3,3,$27.00 
11202080,UNIVERSITY OF ERFURT                                                  ,307,0,1,1,$9.00 
11202280,RWTH AACHEN UNIVERSITY                                                ,307,0,1,1,$9.00 
11202380,MACROMEDIA UNIVERSITY                                                 ,307,0,1,1,$9.00 
11202480,"EUROPA-INSTITUT, UNIVERSITAT DES SAARLANDES                           ",307,0,1,1,$9.00 
11202780,UNIVERSITY OF MUSIC AND PERFORMING ARTS                               ,307,0,1,1,$9.00 
21100280,EUROPEAN BUSINESS SCHOOL                                              ,307,0,1,1,$9.00 
21100380,MUNICH BUSINESS SCHOOL                                                ,307,0,2,2,$18.00 
21100480,EUROPEAN MANAGEMENT SCHOOL                                            ,307,0,1,1,$9.00 
22100080,LUDWIG-MAXIMILIANS-UNIVERSITAT                                        ,307,0,3,3,$27.00 
24800080,SAE INSTITUTE-FRANKFURT MAIN                                          ,307,0,1,1,$9.00 
24800180,SAE INSTITUTE-STUTTGART                                               ,307,0,3,3,$27.00 
24800280,SAE INSTITUTE - BERLIN                                                ,307,0,1,1,$9.00 
31000280,FRANKFURT SCHOOL OF FINANCE AND MANAGEMENT                            ,307,0,1,1,$9.00 
31000880,GLOBE BUSINESS COLLEGE MUNICH                                         ,307,0,2,2,$18.00 
31002180,FREIE UNIVERSITAT BERLIN                                              ,307,0,1,1,$9.00 
31119380,INTERNATIONAL UNIVERSITY OF APPLIED SCIENCES                          ,307,0,5,5,$45.00 
31119580,INSTITUT FUR FREMDSPRACHEN                                            ,307,0,4,4,$36.00 
31300180,FREIE HOCHSCHULE CHRISTENGEM                                          ,307,0,1,1,$9.00 
