Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
31008742,O'More College Of Design,Tennessee,, 4 ,Private non-profit,School Tuition & Fees,"$46,563.02", 4 
31008738,Alvernia University,Pennsylvania,, 70 ,Private non-profit,School Tuition & Fees,"$965,638.19", 170 
31008706,Nazarene Bible College,Colorado,, 31 ,Private non-profit,School Tuition & Fees,"$216,451.85", 113 
31008649,Maranatha Baptist University,Wisconsin,, 27 ,Private non-profit,School Tuition & Fees,"$139,154.40", 53 
31008642,Belhaven University-Memphis,Tennessee,, 15 ,Private non-profit,School Tuition & Fees,"$60,816.10", 59 
31008621,Gordon College,Massachusetts,, 10 ,Private non-profit,School Tuition & Fees,"$178,905.22", 12 
31008505,Scripps Research Institute,California,, 1 ,Private non-profit,School Tuition & Fees,"$8,000.00", 2 
31008446,Christendom College,Virginia,, 16 ,Private non-profit,School Tuition & Fees,"$210,777.48", 23 
31008442,Embry-Riddle Aeronautical University-Worldwide-Memphis,Tennessee,, 39 ,Private non-profit,School Tuition & Fees,"$124,775.72", 92 
31008438,Lycoming College,Pennsylvania,, 13 ,Private non-profit,School Tuition & Fees,"$185,984.91", 22 
31008405,South Baylo University,California,, 7 ,Private non-profit,School Tuition & Fees,"$34,962.96", 20 
31008305,Touro University California,California,, 9 ,Private non-profit,School Tuition & Fees,"$103,745.68", 16 
31008238,Holy Family University,Pennsylvania,, 42 ,Private non-profit,School Tuition & Fees,"$360,024.47", 148 
31008233,Piedmont International University,North Carolina,, 19 ,Private non-profit,School Tuition & Fees,"$49,481.90", 52 
31008142,Oxford Graduate School,Tennessee,, 1 ,Private non-profit,School Tuition & Fees,"$18,211.52", 2 
31008140,Saint Leo University,South Carolina,, 43 ,Private non-profit,School Tuition & Fees,"$224,224.51", 166 
31008138,Cabrini College,Pennsylvania,, 16 ,Private non-profit,School Tuition & Fees,"$101,589.44", 26 
31008040,Saint Leo University,South Carolina,, 69 ,Private non-profit,School Tuition & Fees,"$248,484.05", 197 
31008005,Webster University,California,, 14 ,Private non-profit,School Tuition & Fees,"$74,217.00", 46 
31007921,Boston Conservatory,Massachusetts,, 2 ,Private non-profit,School Tuition & Fees,"$40,061.29", 2 
31007905,University Of San Francisco,California,, 7 ,Private non-profit,School Tuition & Fees,"$104,928.12", 10 
31007838,Lafayette College,Pennsylvania,, 10 ,Private non-profit,School Tuition & Fees,"$204,149.37", 14 
31007835,Lourdes University,Ohio,, 26 ,Private non-profit,School Tuition & Fees,"$273,048.89", 54 
31007833,Southeastern Baptist Theological Seminary,North Carolina,, 66 ,Private non-profit,School Tuition & Fees,"$270,276.96", 120 
31007821,Hellenic College-Holy Cross Greek Orthodox School Of Theology,Massachusetts,, 4 ,Private non-profit,School Tuition & Fees,"$55,841.56", 6 
31007742,Middle Tennessee School Of Anesthesia Inc,Tennessee,, 4 ,Private non-profit,School Tuition & Fees,"$68,723.11", 11 
31007714,Embry-Riddle Aeronautical University-Indianapolis,Indiana,, 31 ,Private non-profit,School Tuition & Fees,"$143,623.00", 80 
31007642,Pentecostal Theological Seminary,Tennessee,, 5 ,Private non-profit,School Tuition & Fees,"$23,193.50", 9 
31007640,Embry-Riddle Aeronautical University-Charleston Afb,South Carolina,, 88 ,Private non-profit,School Tuition & Fees,"$353,666.58", 223 
31007638,La Salle University,Pennsylvania,, 63 ,Private non-profit,School Tuition & Fees,"$536,938.00", 121 
31007605,Pardee Rand Graduate School,California,, 2 ,Private non-profit,School Tuition & Fees,"$25,250.00", 4 
31007563,Universidad Politecnica De Puerto Rico,Puerto Rico,, 102 ,Private non-profit,School Tuition & Fees,"$483,506.54", 265 
31007535,Wilmington College,Ohio,, 15 ,Private non-profit,School Tuition & Fees,"$140,602.70", 31 
31007335,Kenyon College,Ohio,, 7 ,Private non-profit,School Tuition & Fees,"$141,645.14", 7 
31007240,Webster University-Myrtle Beach Campus,South Carolina,, 23 ,Private non-profit,School Tuition & Fees,"$144,249.85", 74 
31007235,Cincinnati Christian University,Ohio,, 16 ,Private non-profit,School Tuition & Fees,"$134,376.21", 64 
31007143,University Of Mary Hardin-Baylor,Texas,, 579 ,Private non-profit,School Tuition & Fees,"$8,391,147.24"," 1,316 "
31007142,Mid-America Baptist Theological Seminary,Tennessee,, 3 ,Private non-profit,School Tuition & Fees,"$12,966.40", 6 
31007140,Webster University-Shaw Campus,South Carolina,, 17 ,Private non-profit,School Tuition & Fees,"$46,787.00", 37 
31007043,Mcmurry University,Texas,, 100 ,Private non-profit,School Tuition & Fees,"$1,240,671.45", 212 
31007040,Webster University-Charleston Metropolican Campus,South Carolina,, 53 ,Private non-profit,School Tuition & Fees,"$218,312.00", 119 
