Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
11881010,Florida A&M University,Florida,,180,Public,School Tuition & Fees,"$940,795.61",414
11880142,Austin Peay State University - Ft Campbell Center,Tennessee,,574,Public,School Tuition & Fees,"$1,673,692.13","1,384"
11880042,Austin Peay State University - Clarksville,Tennessee,,"1,065",Public,School Tuition & Fees,"$5,840,934.73","2,641"
11875138,University Of Pittsburgh At Bradford,Pennsylvania,,47,Public,School Tuition & Fees,"$471,802.12",110
11874138,University Of Pittsburgh At Johnstown,Pennsylvania,,61,Public,School Tuition & Fees,"$552,469.62",105
11873138,University Of Pittsburgh Greensburg Campus,Pennsylvania,,46,Public,School Tuition & Fees,"$395,316.59",88
11872138,University Of Pittsburgh At Titusville,Pennsylvania,,12,Public,School Tuition & Fees,"$122,123.50",31
11871138,University Of Pittsburgh,Pennsylvania,,414,Public,School Tuition & Fees,"$5,709,782.60",871
11860010,Palm Beach State College-Central Campus Lake Worth,Florida,,567,Public,School Tuition & Fees,"$3,673,320.36","1,685"
11851446,Central Michigan University - Pentagon,Virginia,,23,Public,School Tuition & Fees,"$19,958.40",24
11851346,Central Michigan University - Fort Belvoir,Virginia,,67,Public,School Tuition & Fees,"$106,665.90",125
11851246,Troy University,Virginia,,1,Public,School Tuition & Fees,"$2,120.10",7
11850210,St Petersburg College-Tarpon Springs,Florida,,92,Public,School Tuition & Fees,"$163,287.59",222
11850110,St Petersburg College-Clearwater,Florida,,896,Public,School Tuition & Fees,"$1,506,597.97","2,025"
11850010,St Petersburg College-St Petersburg/Gibbs Campus,Florida,,438,Public,School Tuition & Fees,"$744,382.67","1,085"
11844235,Wright State University Lake Campus,Ohio,,20,Public,School Tuition & Fees,"$78,313.68",43
11844035,Wright State University,Ohio,,535,Public,School Tuition & Fees,"$3,176,184.29","1,020"
11842935,Kent State University-Tuscarawas,Ohio,,48,Public,School Tuition & Fees,"$224,727.44",137
11842835,Kent State University-Stark,Ohio,,85,Public,School Tuition & Fees,"$453,557.55",248
11842635,Kent State University-Geauga,Ohio,,25,Public,School Tuition & Fees,"$109,872.58",69
11842435,Kent State University-East Liverpool,Ohio,,27,Public,School Tuition & Fees,"$183,283.50",109
11842335,Kent State University-Ashtabula,Ohio,,57,Public,School Tuition & Fees,"$232,367.69",171
11842235,Kent State University-Salem,Ohio,,28,Public,School Tuition & Fees,"$163,351.59",71
11842135,Kent State University-Trumbull,Ohio,,57,Public,School Tuition & Fees,"$217,762.91",131
11842035,Kent State University,Ohio,,448,Public,School Tuition & Fees,"$3,439,692.01","1,263"
11841530,Rowan University - Graduate School Of Biomedical Sciences,New Jersey,,1,Public,School Tuition & Fees,"$8,730.50",1
11841330,"Rutgers, The State University, School Of Health Related Professions-Piscataway",New Jersey,,2,Public,School Tuition & Fees,"$12,332.80",5
11841130,"Rutgers, The State University, School Of Public Health",New Jersey,,2,Public,School Tuition & Fees,"$7,090.20",2
11840830,"Rutgers, The State University, School Of Nursing, Newark",New Jersey,,7,Public,School Tuition & Fees,"$66,693.10",16
11840530,Rowan University - School Of Osteopathic Medicine,New Jersey,,2,Public,School Tuition & Fees,"$35,267.99",3
11840430,"Rutgers, The State University, Graduate School Of Biomedical Sciences-Newark",New Jersey,,1,Public,School Tuition & Fees,"$6,269.90",1
11840330,"Rutgers, The State University, School Of Health Related Professions",New Jersey,,19,Public,School Tuition & Fees,"$119,173.30",38
11840230,"Rutgers, The State University, New Jersey Medical School",New Jersey,,1,Public,School Tuition & Fees,"$16,132.90",1
11840130,"Rutgers, The State University, New Jersey Dental School",New Jersey,,2,Public,School Tuition & Fees,"$48,809.10",2
11840029,University Of New Hampshire School Of Law,New Hampshire,,7,Public,School Tuition & Fees,"$153,718.20",12
11839410,Miami-Dade College Interamerican Campus,Florida,,109,Public,School Tuition & Fees,"$98,749.95",183
11839310,Miami-Dade College-Medical Center Campus,Florida,,84,Public,School Tuition & Fees,"$114,195.84",192
11839210,Miami-Dade College-Wolfson New World Ctr,Florida,,534,Public,School Tuition & Fees,"$717,441.27","1,046"
11839110,Miami-Dade College-North Campus,Florida,,456,Public,School Tuition & Fees,"$880,934.54","1,127"
11839010,Miami-Dade College-Kendall Campus,Florida,,638,Public,School Tuition & Fees,"$1,538,876.07","1,852"
11835030,"Rutgers, The State University (Camden)",New Jersey,,170,Public,School Tuition & Fees,"$1,724,198.89",423
11831004,Southern Arkansas University-Magnolia,Arkansas,,53,Public,School Tuition & Fees,"$211,716.30",113
11823132,Medgar Evers College,New York,,82,Public,School Tuition & Fees,"$361,727.33",155
11822913,Southern Illinois University Carbondale-Outreach,Illinois,,2,Public,School Tuition & Fees,"$1,339.88",3
11822713,Harry S Truman College,Illinois,,2,Public,School Tuition & Fees,"$18,099.93",14
11822532,Queens College Continuing Education Program,New York,,2,Public,School Tuition & Fees,"$7,518.33",2
11822332,Queens College - Cuny,New York,,172,Public,School Tuition & Fees,"$841,688.22",375
11822113,University Of Illinois At Chicago,Illinois,,350,Public,School Tuition & Fees,"$3,401,413.78",739
11821813,Siu/Edwardsville School Of Dental Medicine,Illinois,,2,Public,School Tuition & Fees,"$18,472.35",3
11821713,Southern Illinois University- Great Lakes,Illinois,,19,Public,School Tuition & Fees,"$74,204.63",56
11821630,"Rutgers The State University, Graduate Schools (New Brunswick)",New Jersey,,31,Public,School Tuition & Fees,"$259,815.45",52
11821613,Southern Illinois Univ Carbondale Scott Afb,Illinois,,20,Public,School Tuition & Fees,"$75,625.57",69
11821413,Southern Illinois Univ School Of Medicine,Illinois,,1,Public,School Tuition & Fees,"$30,133.80",2
11821010,University Of South Florida,Florida,,"1,419",Public,School Tuition & Fees,"$7,278,479.25","3,134"
11820230,"Rutgers The State Univ., - New Brunswick (Undergraduate Schools)",New Jersey,,289,Public,School Tuition & Fees,"$3,342,758.68",722
